Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
ACKERMANS V.HAAREN,BE0003764785,BE0003764785,BRU,ACKB,8775 Specialty Finance,EUR,55.84,27303,1.1,2009-12-11 17:35,1523621,"33,496,904","1,870,467,119",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,54.8,56.52,2009-12-11 13:00,54.8,2009-12-11 9:00,-10.63,72.05,2010-5-11,45.365,2005-8-11,-7.07,72.05,2010-5-11,45.37,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.avh.be"";""http://www.avh.be"")",JAN SUYKENS ,32/3/897.92.36,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
AEDIFICA,BE0003851681,BE0003851681,BRU,AED,8673 Residential REITs,EUR,43.78,3885,0.64,2009-12-11 17:35,170430,"7,090,915","310,440,259",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,43.6,44.1,2009-12-11 9:47,43.51,2009-12-11 12:00,5.49,45.5,2016-9-11,38,2009-8-11,6.91,45.5,2016-9-11,38,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.aedifica.be"";""http://www.aedifica.be"")",Martina Carlsson,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
AGEAS (EX-FORTIS),BE0003801181,BE0003801181,BRU,AGS,8575 Life Insurance,EUR,1.33,6614700,8.66,2009-12-11 17:35,8242896,"2,458,384,994","3,269,652,042",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,1.22,1.33,2009-12-11 17:35,1.211,2009-12-11 9:04,-22.22,2.529,2018-2-11,1.08,2023-11-11,-29.26,2.53,2018-2-11,1.08,2023-11-11,"=LIEN_HYPERTEXTE(""http://www.ageas.com"";""http://www.ageas.com"")",Frank Vandenborre,+32 2 557 57 33,8000 Financials,8500 Insurance,8570 Life Insurance,Yes,No,-,-
AGEAS STRIP VVPR,BE0005591624,BE0005591624,BRU,AGSS,8575 Life Insurance,EUR,0.001,4610,0,2009-12-11 15:00,5,"1,079,169,086","1,079,169",null,Belgium zone  ,,Call auction,0.001,0.001,2009-12-11 15:00,0.001,2009-12-11 15:00,0,0.002,2028-6-11,0.001,2008-12-11,0,0,2028-6-11,0,2008-12-11,-,-,-,8000 Financials,8500 Insurance,8570 Life Insurance,No,No,-,-
AGFA STRIP VVPR(D),BE0005638128,BE0005638128,BRU,AGFS,2737 Electronic Equipment,EUR,0.001,566,0,2007-12-11 15:05,1,"42,962,760","42,963",null,Belgium zone  ,,Call auction,0.001,0.001,2007-12-11 15:00,0.001,2007-12-11 15:00,-66.67,0.004,2020-1-11,0.001,2029-11-11,-50,0,2020-1-11,0,2029-11-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,No,No,-,-
AGFA-GEVAERT,BE0003755692,BE0003755692,BRU,AGFB,2737 Electronic Equipment,EUR,1.22,330457,0,2009-12-11 17:35,405878,"171,851,042","209,658,271",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,1.21,1.26,2009-12-11 12:54,1.2,2009-12-11 9:03,-61.88,3.58,2012-5-11,1.12,2025-11-11,-63.58,3.58,2012-5-11,1.12,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.agfa.com"";""http://www.agfa.com"")",Viviane Dictus,++ 32 (0)3 444 71 24,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,Yes,No,-,-
ALFACAM GROUP,BE0003868859,BE0003868859,BRU,ALFA,5553 Broadcasting & Entertainment,EUR,2.92,1916,0,2009-12-11 17:09,5628,"8,847,173","25,833,745",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,2.92,2.95,2009-12-11 16:46,2.92,2009-12-11 10:47,-34.38,5.3,2001-6-11,2.85,2021-11-11,-39.17,5.3,2001-6-11,2.85,2021-11-11,"=LIEN_HYPERTEXTE(""http://www.alfacamgroup.com"";""http://www.alfacamgroup.com"")",-,-,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
ANGLOGOLD ASH CERT,BE0088072930,BE0088072930,BRU,ANG,1777 Gold Mining,EUR,33.5,10,-1.47,2009-12-11 15:00,335,"1,993,427","66,779,805",null,International zone (out of Euro)  ,,Continuous,33.5,33.5,2009-12-11 15:00,33.5,2009-12-11 15:00,-7.2,37.21,2003-1-11,26.65,2009-8-11,-7.18,37.61,2015-12-10,26.65,2009-8-11,-,-,-,1000 BasicMaterials,1700 Basic Resources,1770 Mining,No,No,-,-
ARCELORMITTAL,LU0323134006,NSCNL0000MT9,AMS,MT,1757 Iron & Steel,EUR,14.14,9516736,4.47,2009-12-11 17:37,132488257,"1,560,914,610","22,071,332,585",Compartment A (Large Caps),Euro zone  ,PEA eligible,Continuous,13.35,14.175,2009-12-11 12:56,13.29,2009-12-11 9:02,-47.55,28.55,2008-2-11,10.465,2023-9-11,-44.53,28.55,2008-2-11,10.47,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.arcelormittal.com"";""http://www.arcelormittal.com"")",-,-,1000 BasicMaterials,1700 Basic Resources,1750 Industrial Metals & Mining,Yes,No,-,-
ARSEUS (D),BE0003874915,BE0003874915,BRU,RCUS,4535 Medical Equipment,EUR,10.58,35560,3.02,2009-12-11 17:35,374839,"31,216,888","330,274,675",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,10.18,10.7,2009-12-11 13:44,10.18,2009-12-11 9:00,-7.03,12.9,2010-5-11,8.91,2025-11-11,2.72,12.9,2010-5-11,8.91,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.arseus.com"";""http://www.arseus.com"")",Constantijn van Rietschoten,31653691585,4000 HealthCare,4500 Health Care,4530 Health Care Equipment & Services,Yes,No,-,-
